Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
P21329	RTJK_DROFU	reviewed	RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)	jockey\pol pol	Drosophila funebris (Fruit fly)		RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
P16112	PGCA_HUMAN	reviewed	Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]	ACAN AGC1 CSPG1 MSK16	Homo sapiens (Human)	cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; carbohydrate binding [GO:0030246]; extracellular matrix structural constituent [GO:0005201]; hyaluronic acid binding [GO:0005540]; metal ion binding [GO:0046872]; cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; proteolysis [GO:0006508]; skeletal system development [GO:0001501]	GO:0001501; GO:0005201; GO:0005540; GO:0005576; GO:0005796; GO:0006508; GO:0007155; GO:0007417; GO:0030246; GO:0031012; GO:0043202; GO:0046872; GO:0062023
P0CT43	TF28_SCHPO	reviewed	Transposon Tf2-8 polyprotein (Retrotransposable element Tf2 155 kDa protein)	Tf2-8 Tf2-9 SPAC13D1.02c SPAC19D5.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	aspartic-type endopeptidase activity [GO:0004190]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872
Q96DM1	PGBD4_HUMAN	reviewed	PiggyBac transposable element-derived protein 4	PGBD4	Homo sapiens (Human)			
Q95SX7	RTBS_DROME	reviewed	Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)	RTase	Drosophila melanogaster (Fruit fly)	transposition, DNA-mediated [GO:0006313]	RNA-directed DNA polymerase activity [GO:0003964]; transposition, DNA-mediated [GO:0006313]	GO:0003964; GO:0006313
P04323	POL3_DROME	reviewed	Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	pol	Drosophila melanogaster (Fruit fly)	DNA integration [GO:0015074]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
P42565	FARX_LYMST	reviewed	FMRFamide-related neuropeptides [Cleaved into: EFFPL-amide; GDPFLRF-amide 1; GDPFLRF-amide 2; GDPFLRF-amide 3; GDPFLRF-amide 4; GDPFLRF-amide 5; GDPFLRF-amide 6; GDPFLRF-amide 7; SDPFLRF-amide 1; SDPFLRF-amide 2; SDPFLRF-amide 3; SDPFLRF-amide 4; SDPFLRF-amide 5; SDPFLRF-amide 6; SDPYLRF-amide; SDPFFRF-amide; SKPYMRF-amide; SSFPRY-amide; HDYMRF-amide]		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	neuropeptide signaling pathway [GO:0007218]	extracellular region [GO:0005576]; neuropeptide signaling pathway [GO:0007218]	GO:0005576; GO:0007218
Q9NZ01	TECR_HUMAN	reviewed	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)	TECR GPSN2 SC2	Homo sapiens (Human)	fatty acid elongation [GO:0030497]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; sphingolipid metabolic process [GO:0006665]; very long-chain fatty acid biosynthetic process [GO:0042761]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleus [GO:0005634]; oxidoreductase activity [GO:0016491]; very-long-chain enoyl-CoA reductase activity [GO:0102758]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]; fatty acid elongation [GO:0030497]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; sphingolipid metabolic process [GO:0006665]; very long-chain fatty acid biosynthetic process [GO:0042761]	GO:0005634; GO:0005783; GO:0005789; GO:0006665; GO:0016491; GO:0017099; GO:0030176; GO:0030497; GO:0035338; GO:0042761; GO:0102758
A8YPR9	SVMI1_CERCE	reviewed	Snake venom metalloprotease inhibitor 02A10 (01F09) [Cleaved into: Tripeptide pEKW 1; Tripeptide pEKW 2; Tripeptide pEKW 3; Tripeptide pEKW 4; Tripeptide pEKW 5; Tripeptide pEKW 6; Tripeptide pEKW 7; Tripeptide pEKW 8; Tripeptide pEKW 9; Tripeptide pEKW 10; Tripeptide pEKW 11; Tripeptide pEKW 12; Tripeptide pEKW 13; Tripeptide pEKW 14; Tripeptide pEKW 15; Tripeptide pEKW 16; Tripeptide pEKW 17; C-type natriuretic peptide (CNP)]	Svmpi-Cce12	Cerastes cerastes (Horned desert viper)	regulation of blood pressure [GO:0008217]; vasodilation [GO:0042311]	extracellular region [GO:0005576]; metalloendopeptidase inhibitor activity [GO:0008191]; toxin activity [GO:0090729]; regulation of blood pressure [GO:0008217]; vasodilation [GO:0042311]	GO:0005576; GO:0008191; GO:0008217; GO:0042311; GO:0090729
P15305	DYHC_ONCMY	reviewed	Dynein heavy chain (DYHC) (Fragment)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)		cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]	GO:0005737; GO:0005874; GO:0030286; GO:0031514
P21328	RTJK_DROME	reviewed	RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)	pol	Drosophila melanogaster (Fruit fly)		RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
Q562E7	WDR81_HUMAN	reviewed	WD repeat-containing protein 81	WDR81	Homo sapiens (Human)	aggrephagy [GO:0035973]; early endosome to late endosome transport [GO:0045022]; mitochondrion organization [GO:0007005]; protein stabilization [GO:0050821]; regulation of phosphatidylinositol 3-kinase activity [GO:0043551]; ubiquitin-dependent protein catabolic process [GO:0006511]	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; extrinsic component of endosome membrane [GO:0031313]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; mitochondrion [GO:0005739]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; phosphatidylinositol 3-kinase regulator activity [GO:0035014]; aggrephagy [GO:0035973]; early endosome to late endosome transport [GO:0045022]; mitochondrion organization [GO:0007005]; protein stabilization [GO:0050821]; regulation of phosphatidylinositol 3-kinase activity [GO:0043551]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000421; GO:0005739; GO:0005765; GO:0005829; GO:0006511; GO:0007005; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0035973; GO:0043551; GO:0045022; GO:0050821; GO:0070530
Q9Z2Q4	METH_RAT	reviewed	Methionine synthase (MS) (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	Mtr	Rattus norvegicus (Rat)	cellular response to methionine [GO:0061431]; cobalamin metabolic process [GO:0009235]; homocysteine metabolic process [GO:0050667]; methionine biosynthetic process [GO:0009086]; methionine metabolic process [GO:0006555]; protein methylation [GO:0006479]; tetrahydrofolate metabolic process [GO:0046653]	cytosol [GO:0005829]; amino acid binding [GO:0016597]; cobalamin binding [GO:0031419]; folic acid binding [GO:0005542]; methionine synthase activity [GO:0008705]; methyltransferase activity [GO:0008168]; zinc ion binding [GO:0008270]; cellular response to methionine [GO:0061431]; cobalamin metabolic process [GO:0009235]; homocysteine metabolic process [GO:0050667]; methionine biosynthetic process [GO:0009086]; methionine metabolic process [GO:0006555]; protein methylation [GO:0006479]; tetrahydrofolate metabolic process [GO:0046653]	GO:0005542; GO:0005829; GO:0006479; GO:0006555; GO:0008168; GO:0008270; GO:0008705; GO:0009086; GO:0009235; GO:0016597; GO:0031419; GO:0046653; GO:0050667; GO:0061431
G5ECN9	NEC2_CAEEL	reviewed	Neuroendocrine convertase 2 (NEC 2) (EC 3.4.21.94) (Egg-laying defective protein 3) (Kex2-like prohormone convertase 2) (CELPC2) (Prohormone convertase 2) (PC2) (Proprotein convertase 2)	egl-3 kpc-2 C51E3.7	Caenorhabditis elegans	arg-arg specific dibasic protein processing [GO:0090474]; determination of adult lifespan [GO:0008340]; dibasic protein processing [GO:0090472]; insulin processing [GO:0030070]; larval feeding behavior [GO:0030536]; negative regulation of dauer entry [GO:1905910]; negative regulation of dense core granule transport [GO:1904810]; negative regulation of turning behavior involved in mating [GO:0061096]; neuromuscular synaptic transmission [GO:0007274]; neuropeptide processing [GO:0061837]; peptide hormone processing [GO:0016486]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of backward locomotion [GO:1905852]; positive regulation of digestive system process [GO:0060456]; positive regulation of forward locomotion [GO:1905850]; positive regulation of lipid localization [GO:1905954]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of oviposition [GO:1901046]; positive regulation of synaptic assembly at neuromuscular junction [GO:0045887]; protein processing [GO:0016485]; regulation of backward locomotion [GO:0043058]; regulation of eating behavior [GO:1903998]; regulation of locomotion involved in locomotory behavior [GO:0090325]; regulation of muscle contraction [GO:0006937]; regulation of neuromuscular synaptic transmission [GO:1900073]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; response to mechanical stimulus [GO:0009612]; response to serotonin [GO:1904014]	axon [GO:0030424]; cytoplasmic vesicle [GO:0031410]; extracellular space [GO:0005615]; membrane [GO:0016020]; neuron projection [GO:0043005]; synapse [GO:0045202]; FBXO family protein binding [GO:0098770]; serine-type endopeptidase activity [GO:0004252]; arg-arg specific dibasic protein processing [GO:0090474]; determination of adult lifespan [GO:0008340]; dibasic protein processing [GO:0090472]; insulin processing [GO:0030070]; larval feeding behavior [GO:0030536]; negative regulation of dauer entry [GO:1905910]; negative regulation of dense core granule transport [GO:1904810]; negative regulation of turning behavior involved in mating [GO:0061096]; neuromuscular synaptic transmission [GO:0007274]; neuropeptide processing [GO:0061837]; peptide hormone processing [GO:0016486]; positive regulation of acetylcholine secretion, neurotransmission [GO:0014057]; positive regulation of backward locomotion [GO:1905852]; positive regulation of digestive system process [GO:0060456]; positive regulation of forward locomotion [GO:1905850]; positive regulation of lipid localization [GO:1905954]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of oviposition [GO:1901046]; positive regulation of synaptic assembly at neuromuscular junction [GO:0045887]; protein processing [GO:0016485]; regulation of backward locomotion [GO:0043058]; regulation of eating behavior [GO:1903998]; regulation of locomotion involved in locomotory behavior [GO:0090325]; regulation of muscle contraction [GO:0006937]; regulation of neuromuscular synaptic transmission [GO:1900073]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; response to mechanical stimulus [GO:0009612]; response to serotonin [GO:1904014]	GO:0004252; GO:0005615; GO:0006937; GO:0007274; GO:0008340; GO:0008582; GO:0009612; GO:0014057; GO:0016020; GO:0016485; GO:0016486; GO:0030070; GO:0030424; GO:0030536; GO:0031410; GO:0043005; GO:0043058; GO:0045202; GO:0045887; GO:0060456; GO:0061096; GO:0061837; GO:0090325; GO:0090326; GO:0090472; GO:0090474; GO:0098770; GO:1900073; GO:1901046; GO:1903998; GO:1904014; GO:1904810; GO:1905850; GO:1905852; GO:1905910; GO:1905954
P20825	POL2_DROME	reviewed	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	pol	Drosophila melanogaster (Fruit fly)	DNA integration [GO:0015074]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
Q9NBX4	RTXE_DROME	reviewed	Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)	X-element\ORF2 ORF2	Drosophila melanogaster (Fruit fly)	transposition, DNA-mediated [GO:0006313]	RNA-directed DNA polymerase activity [GO:0003964]; transposition, DNA-mediated [GO:0006313]	GO:0003964; GO:0006313
Q7LHG5	YI31B_YEAST	reviewed	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	TY3B-I YILWTy3-1 POL YIL082W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
B2RRL2	JERKL_MOUSE	reviewed	Jerky protein homolog-like	Jrkl	Mus musculus (Mouse)		nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634
Q28298	RRBP1_CANLF	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor) (RRp)	RRBP1 P180	Canis lupus familiaris (Dog) (Canis familiaris)	protein transport [GO:0015031]; signal transduction [GO:0007165]	integral component of endoplasmic reticulum membrane [GO:0030176]; protein transport [GO:0015031]; signal transduction [GO:0007165]	GO:0007165; GO:0015031; GO:0030176
Q9VGZ5	CWO_DROME	reviewed	Transcription factor cwo (Protein clockwork orange)	cwo CG17100	Drosophila melanogaster (Fruit fly)	anterior/posterior pattern specification [GO:0009952]; circadian regulation of gene expression [GO:0032922]; dendrite morphogenesis [GO:0048813]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of circadian rhythm [GO:0042752]; regulation of neurogenesis [GO:0050767]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; anterior/posterior pattern specification [GO:0009952]; circadian regulation of gene expression [GO:0032922]; dendrite morphogenesis [GO:0048813]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of circadian rhythm [GO:0042752]; regulation of neurogenesis [GO:0050767]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]	GO:0000122; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0009952; GO:0032922; GO:0042752; GO:0046983; GO:0048813; GO:0050767
P18756	ETS1B_XENLA	reviewed	Protein c-ets-1-B (C-ets-1B) (XE1-B) (Fragment)	ets1-b	Xenopus laevis (African clawed frog)	positive regulation of endothelial cell migration [GO:0010595]; regulation of angiogenesis [GO:0045765]	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of endothelial cell migration [GO:0010595]; regulation of angiogenesis [GO:0045765]	GO:0003700; GO:0005634; GO:0010595; GO:0043565; GO:0045765
Q9Y297	FBW1A_HUMAN	reviewed	F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit)	BTRC BTRCP FBW1A FBXW1A	Homo sapiens (Human)	branching involved in mammary gland duct morphogenesis [GO:0060444]; cellular response to organic cyclic compound [GO:0071407]; mammary gland epithelial cell proliferation [GO:0033598]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of proteolysis [GO:0045862]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein dephosphorylation [GO:0006470]; protein destabilization [GO:0031648]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell cycle [GO:0051726]; regulation of circadian rhythm [GO:0042752]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of proteasomal protein catabolic process [GO:0061136]; rhythmic process [GO:0048511]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway [GO:0016055]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; SCF ubiquitin ligase complex [GO:0019005]; beta-catenin binding [GO:0008013]; ligase activity [GO:0016874]; protein dimerization activity [GO:0046983]; protein phosphorylated amino acid binding [GO:0045309]; ubiquitin ligase activator activity [GO:1990757]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase activity [GO:0061630]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cellular response to organic cyclic compound [GO:0071407]; mammary gland epithelial cell proliferation [GO:0033598]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of proteolysis [GO:0045862]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein dephosphorylation [GO:0006470]; protein destabilization [GO:0031648]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell cycle [GO:0051726]; regulation of circadian rhythm [GO:0042752]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of proteasomal protein catabolic process [GO:0061136]; rhythmic process [GO:0048511]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway [GO:0016055]	GO:0000209; GO:0005654; GO:0005829; GO:0006470; GO:0006511; GO:0007165; GO:0008013; GO:0016055; GO:0016567; GO:0016874; GO:0019005; GO:0031146; GO:0031648; GO:0033598; GO:0042752; GO:0042753; GO:0043122; GO:0043161; GO:0043433; GO:0045309; GO:0045862; GO:0045879; GO:0045892; GO:0045893; GO:0046983; GO:0048511; GO:0051726; GO:0060444; GO:0060828; GO:0061136; GO:0061630; GO:0070936; GO:0071407; GO:1904668; GO:1990756; GO:1990757
