ID	BlastType	SeqLength	HitAcc	HitDesc	Score	E-Value	PercentIdent	QueryStart	QueryEnd	HitStart	HitEnd
evm.model.HiC_scaffold_1.1	BLASTX1	743	XP_014371636.1	PREDICTED: adhesive plaque matrix protein-like [Papilio machaon]	525	2e-61	96/251 (38%)	1	741	49	299
evm.model.HiC_scaffold_1.10	BLASTX1	300	KAG0710183.1	Conserved oligomeric Golgi complex subunit 8 [Chionoecetes opilio]	446	2e-50	81/91 (89%)	28	300	2	92
evm.model.HiC_scaffold_1.100	BLASTX1	592	XP_045438764.1	uncharacterized protein LOC123652494 [Pipistrellus kuhlii]	279	5e-25	95/235 (40%)	2	583	122	352
evm.model.HiC_scaffold_1.101	No Hit Found										
evm.model.HiC_scaffold_1.102	No Hit Found										
evm.model.HiC_scaffold_1.103	No Hit Found										
evm.model.HiC_scaffold_1.104	No Hit Found										
evm.model.HiC_scaffold_1.105	BLASTX1	570	XP_033432496.1	Septation protein imp2 [Daldinia childiae]KAF3054970.1 Septation protein imp2 [Daldinia childiae]	161	8e-09	28/50 (56%)	419	568	492	541
evm.model.HiC_scaffold_1.106	BLASTX1	442	QYJ58449.1	trehalase [Eriocheir sinensis]	614	3e-73	113/148 (76%)	1	441	231	378
evm.model.HiC_scaffold_1.107	BLASTX1	561	XP_014670374.1	PREDICTED: uncharacterized protein LOC106811314 isoform X1 [Priapulus caudatus]XP_014670375.1 PREDICTED: uncharacterized protein LOC106811314 isoform X2 [Priapulus caudatus]	459	2e-54	99/170 (58%)	64	561	1	170
evm.model.HiC_scaffold_1.108	BLASTX1	338	MPC78557.1	Trehalase [Portunus trituberculatus]	271	5e-28	48/77 (62%)	106	336	10	86
evm.model.HiC_scaffold_1.109	BLASTX1	272	XP_027221956.1	trehalase-like [Penaeus vannamei]	295	2e-30	55/81 (67%)	22	264	41	121
evm.model.HiC_scaffold_1.11	BLASTX1	423	XP_034324820.1	U1 small nuclear ribonucleoprotein 70 kDa-like [Crassostrea gigas]	146	6e-08	59/137 (43%)	4	414	2	138
evm.model.HiC_scaffold_1.110	No Hit Found										
evm.model.HiC_scaffold_1.111	BLASTX1	587	KAG1696934.1	Alpha-N-acetylgalactosaminidase [Nymphon striatum]	309	1e-28	79/211 (37%)	64	585	822	1032
evm.model.HiC_scaffold_1.112	BLASTX1	399	XP_030839252.1	uncharacterized protein LOC115923129 [Strongylocentrotus purpuratus]XP_030839253.1 uncharacterized protein LOC100891077 [Strongylocentrotus purpuratus]	246	5e-21	44/101 (43%)	31	333	473	573
evm.model.HiC_scaffold_1.113	No Hit Found										
