beta  ances 
0.210 0.363
0.207 0.367
0.208 0.369
0.209 0.367
0.209 0.367
0.209 0.368
0.209 0.369
0.209 0.369
0.209 0.369
0.209 0.369
0.209 0.368
0.209 0.368
0.209 0.367
0.209 0.368
0.209 0.368
0.208 0.368
0.208 0.367
0.208 0.367
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
0.208 0.368
