Contrast,Change in OA,Category,GO,Term,Number of Genes,Genes (Uniprot IDs),Fold Enrichment,P-Value,FDR
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0005975,carbohydrate metabolic process,14,"Q54K67, P04746, O19015, O97396, Q01415, Q2KJJ9, Q04820, O88989, Q7YRU4, P00688, Q6DIY9, H2N0D4, Q8N0N3, Q13231",5.6,9.35e-7,5.28e-4
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006457,protein folding,12,"P54985, Q2T9X2, P50143, P29413, P80313, Q9SF16, Q3T084, Q7Z1E6, Q54TH8, Q4R963, P48605, P80317",5,2.05e-5,0.00579
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006108,malate metabolic process,5,"Q04820, O88989, Q7YRU4, Q9CPP7, Q6DIY9",18.2,1.06e-4,0.0199
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:1904851,positive regulation of establishment of protein localization to telomere,5,"Q2T9X2, P80313, Q4R6V2, Q4R963, P80317",16.7,1.56e-4,0.022
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:1901998,toxin transport,6,"Q2T9X2, P80313, Q3T084, Q4R6V2, Q4R963, P80317",10,2.59e-4,0.0292
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0007339,binding of sperm to zona pellucida,5,"Q2T9X2, P80313, Q4R6V2, Q4R963, P80317",12.5,5.3e-4,0.0499
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0032212,positive regulation of telomere maintenance via telomerase,5,"Q2T9X2, P80313, Q4R6V2, Q4R963, P80317",9.5,0.00158,0.112
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0018279,protein N-linked glycosylation via asparagine,5,"Q9GMB0, Q2KJI2, Q8BTV1, Q24319, P45971",9.5,0.00158,0.112
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006734,NADH metabolic process,4,"O88989, Q7YRU4, Q6DIY9, Q4V8V2",14.5,0.00215,0.135
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006099,tricarboxylic acid cycle,6,"Q04820, O88989, Q7YRU4, Q9Z2K9, Q6DIY9, Q5PRA2",5.3,0.00489,0.276
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006749,glutathione metabolic process,5,"P30104, P12261, Q93112, Q9W3K5, Q93113, P42860",6.9,0.00538,0.276
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0035999,tetrahydrofolate interconversion,4,"Q64380, O96553, P11586, Q9YH58",8.4,0.0109,0.513
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006672,ceramide metabolic process,3,"Q8CHN6, Q9JHE3, Q04519",15,0.0156,0.628
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0008210,estrogen metabolic process,3,"P70691, Q8CHN6, P51659",15,0.0156,0.628
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006313,"transposition, DNA-mediated",3,"Q95SX7, Q8I7P9, Q9NBX4",13.3,0.0197,0.72
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006635,fatty acid beta-oxidation,5,"P40939, O62742, Q07598, P51659, Q3T0R7",4.6,0.0214,0.72
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006629,lipid metabolic process,9,"O61866, Q8VCW8, P21439, Q9CPP7, Q924Z4, Q99NB1, Q9JHE3, Q7ZUC7, Q04519",2.6,0.0221,0.72
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0051603,proteolysis involved in cellular protein catabolic process,4,"Q4R4T8, P80067, Q3ZCJ8, Q95029",6.4,0.0232,0.72
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006107,oxaloacetate metabolic process,3,"O88989, Q7YRU4, Q6DIY9",12,0.0242,0.72
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0046513,ceramide biosynthetic process,3,"Q924Z4, Q9JHE3, Q04519",8.6,0.046,0.991
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0099040,ceramide translocation,2,"P21439, P06795",40,0.0491,0.991
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0046185,aldehyde catabolic process,2,"P20000, Q6GMC7",40,0.0491,0.991
Moderate OA vs. Ambient,Downregulated,Biological Process,GO:0006631,fatty acid metabolic process,5,"Q8VCW8, P40939, Q86TX2, Q8CHN6, Q7ZUC7",3.6,0.0498,0.991
Moderate OA vs. Ambient,Upregulated,Biological Process,GO:0015074,DNA integration,7,"Q99315, P04323, Q8I7P9, Q94HW2, P20825, P11369, Q09575",9.4,8.44e-5,0.045
Moderate OA vs. Ambient,Upregulated,Biological Process,GO:0051085,chaperone mediated protein folding requiring cofactor,4,"Q9I8F9, Q8R180, Q24133, Q61696",30.3,2.5e-4,0.0667
