"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","start","end","saccver","spid","gene_uni","evalue","protein_names","gene_ontology_biological_process","gene_ontology_i_ds"
"g30042",102.836066252272,5.95582909803547,0.749369336167303,7.94778864117517,1.8987023338546e-15,1.0678681666065e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g12054",655.427997846771,8.22128550457213,1.106729808782,7.42844860537369,1.09878758225087e-13,3.08990056004768e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g29611",80.3458877166156,4.51435205384072,0.617137470594569,7.31498615615003,2.5740792787853e-13,3.9653748057656e-09,0,35434,"sp|B3EWZ5|MLRP1_ACRMI","B3EWZ5","MLRP1",9.38e-173,"MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment)",NA,"GO:0005576; GO:0016020"
"g30043",241.464053049787,6.34075273917339,0.86827357591286,7.30271301013282,2.82022318250816e-13,3.9653748057656e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g52273",45.7311305577461,6.56251001482542,0.904745951427315,7.25342843974321,4.0635211415742e-13,4.57081112088832e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g55150",441.250151675037,6.50980341003641,0.907549473055798,7.17294605231529,7.3400783500708e-13,6.88034477607803e-09,0,9464,"sp|Q4R4T8|LGMN_MACFA","Q4R4T8","LGMN",5.67e-32,"Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)","negative regulation of ERBB signaling pathway [GO:1901185]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; receptor catabolic process [GO:0032801]; renal system process [GO:0003014]","GO:0003014; GO:0004197; GO:0005764; GO:0006508; GO:0032801; GO:0051603; GO:1901185"
"g11730",138.486666534113,6.5680658524124,0.93083497304502,7.05610128820841,1.71239027816321e-12,1.37583220034936e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g11904",93.0112242476842,3.82856010708331,0.556337008115288,6.88172825326394,5.91307330853265e-12,4.15703836273117e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g36661",59.4018347297661,6.26750015010448,0.921737909460196,6.79965539637505,1.04869692810436e-11,6.55342362560502e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g103777",72.1665996518102,4.36360251703264,0.646601105375532,6.74852313235431,1.49357590917946e-11,8.40016962840712e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
