name	term	lev	seq	value
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g25257	-0.351040575682481
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g38514	0.186555333002791
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g90812	-0.13940493979574
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g103903	-0.00446462009366175
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g119110	-0.284318226718974
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g127745	0.000928758214040267
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g127779	-0.0186902679562765
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g97181	0.0246221235420408
"RNA polymerase III transcription regulator complex"	GO:0000127;GO:0090576	4	g125549	-0.0295946710224363
"nucleus"	GO:0005634	2	g321	0.466029171313903
"nucleus"	GO:0005634	2	g454	-0.284455490264762
"nucleus"	GO:0005634	2	g506	0.159046075276982
"nucleus"	GO:0005634	2	g507	-0.0883501254145779
"nucleus"	GO:0005634	2	g508	0.321790489717018
"nucleus"	GO:0005634	2	g998	-0.309285164836696
"nucleus"	GO:0005634	2	g1125	-1.20773828902982
"nucleus"	GO:0005634	2	g1714	0.670200872332811
"nucleus"	GO:0005634	2	g1712	0.0670042372124759
"nucleus"	GO:0005634	2	g2070	0.103342038470711
"nucleus"	GO:0005634	2	g2392	-0.21265769490642
"nucleus"	GO:0005634	2	g2648	-0.0776829632542946
"nucleus"	GO:0005634	2	g2897	0.0650844961047506
"nucleus"	GO:0005634	2	g3089	0.114865144331453
"nucleus"	GO:0005634	2	g3615	-0.132667505359498
"nucleus"	GO:0005634	2	g3809	0.219609587551036
"nucleus"	GO:0005634	2	g3828	0.0437819510874752
"nucleus"	GO:0005634	2	g4132	0.257477429330292
"nucleus"	GO:0005634	2	g4809	-0.0394112681501317
"nucleus"	GO:0005634	2	g5282	-0.131382904160335
"nucleus"	GO:0005634	2	g5280	-0.0495562774519908
"nucleus"	GO:0005634	2	g5315	1.26073932072951
"nucleus"	GO:0005634	2	g5376	-0.440389886686737
"nucleus"	GO:0005634	2	g5375	-0.0288963594941388
"nucleus"	GO:0005634	2	g5401	-0.0206750947488995
"nucleus"	GO:0005634	2	g5427	0.0528079328076297
"nucleus"	GO:0005634	2	g5815	0.0143112516208245
"nucleus"	GO:0005634	2	g6606	-0.218720187850601
