id	gene_ontology_i_ds
g5198	GO:0003964; GO:0006313
g9125	GO:0003964; GO:0006313
g3693	GO:0007283; GO:0016021; GO:0030968
g9035	GO:0003964; GO:0006313
g8430	GO:0000226; GO:0000242; GO:0000281; GO:0001750; GO:0001764; GO:0001843; GO:0001895; GO:0001917; GO:0003085; GO:0005634; GO:0005813; GO:0005814; GO:0005829; GO:0005929; GO:0007098; GO:0007286; GO:0007608; GO:0008104; GO:0010629; GO:0015031; GO:0016020; GO:0016358; GO:0019216; GO:0021591; GO:0021756; GO:0021766; GO:0021987; GO:0030534; GO:0030674; GO:0030837; GO:0031514; GO:0032391; GO:0032465; GO:0033210; GO:0033365; GO:0034260; GO:0034451; GO:0034452; GO:0034454; GO:0034464; GO:0035176; GO:0035845; GO:0035869; GO:0036064; GO:0038108; GO:0040018; GO:0043014; GO:0044321; GO:0045444; GO:0045494; GO:0045724; GO:0046548; GO:0048487; GO:0048854; GO:0051457; GO:0051492; GO:0060170; GO:0060271; GO:0060296; GO:0060324; GO:0060613; GO:0061512; GO:0061629; GO:0071539; GO:0097730; GO:1902855; GO:1903546; GO:1905515
g6816	GO:0003964; GO:0006313
g9122	GO:0000139; GO:0000981; GO:0003677; GO:0005634; GO:0005789; GO:0006357; GO:0008203; GO:0008593; GO:0012507; GO:0016021; GO:0032933; GO:0045542; GO:0046983
g5984	GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0007601; GO:0032040; GO:0034388; GO:0050896
g6554	GO:0004807; GO:0005737; GO:0006094; GO:0006096; GO:0008929; GO:0019242; GO:0019863; GO:0042803; GO:0046166
g1361	GO:0003964; GO:0006313
g4395	GO:0003964; GO:0006313
g2337	GO:0007616; GO:0008344; GO:0042428; GO:0042748; GO:0048512; GO:0050804; GO:0050951; GO:0060586; GO:1900242
g8216	GO:0015643; GO:0016021
g1953	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g2972	GO:0003964; GO:0006313
g9217	GO:0016020; GO:0016021; GO:0072657
g5072	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g6216	GO:0003964; GO:0006313
g5093	GO:0001731; GO:0001732; GO:0003723; GO:0003743; GO:0005092; GO:0005525; GO:0005737; GO:0005829; GO:0005886; GO:0006446; GO:0045296; GO:0071074
g5392	GO:0003729; GO:0005634; GO:0006355; GO:0006357; GO:0007173; GO:0007379; GO:0007400; GO:0007403; GO:0007411; GO:0007422; GO:0008586; GO:0035222; GO:0035321; GO:0048106; GO:0048749; GO:0050832; GO:0090263
g2797	GO:0003964; GO:0006313
g2727	GO:0003964; GO:0006313
g8494	GO:0000209; GO:0005654; GO:0005829; GO:0006470; GO:0006511; GO:0007165; GO:0008013; GO:0016055; GO:0016567; GO:0016874; GO:0019005; GO:0031146; GO:0031648; GO:0033598; GO:0042752; GO:0042753; GO:0043122; GO:0043161; GO:0043433; GO:0045309; GO:0045862; GO:0045879; GO:0045892; GO:0045893; GO:0046983; GO:0048511; GO:0051726; GO:0060444; GO:0060828; GO:0061136; GO:0061630; GO:0070936; GO:0071407; GO:1904668; GO:1990756; GO:1990757
g2616	GO:0001963; GO:0005576; GO:0005783; GO:0031175; GO:0042417; GO:0045202; GO:0070050
g2007	GO:0003964; GO:0046872
g7059	GO:0003964; GO:0006313
g1533	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0008270; GO:0015074; GO:0016020; GO:0019013; GO:0019068; GO:0020002; GO:0039660; GO:0044185; GO:0044826; GO:0046718; GO:0072494; GO:0075713
g9014	GO:0003964; GO:0004519
g2708	GO:0001744; GO:0005737; GO:0006688; GO:0007281; GO:0007293; GO:0007298; GO:0007299; GO:0007411; GO:0008049; GO:0016021; GO:0016325; GO:0016333; GO:0019187; GO:0030707; GO:0030720; GO:0033227; GO:0042248; GO:0045165; GO:0045434; GO:0046662; GO:0048935
g3439	GO:0000122; GO:0000407; GO:0000423; GO:0000932; GO:0001659; GO:0001934; GO:0002376; GO:0002931; GO:0005080; GO:0005737; GO:0005739; GO:0005770; GO:0005776; GO:0005783; GO:0005829; GO:0006468; GO:0006606; GO:0006914; GO:0006915; GO:0007032; GO:0008270; GO:0016234; GO:0016235; GO:0016236; GO:0016605; GO:0019899; GO:0019901; GO:0030017; GO:0030154; GO:0031397; GO:0031625; GO:0035255; GO:0035973; GO:0042169; GO:0042802; GO:0043122; GO:0043130; GO:0044753; GO:0044754; GO:0044877; GO:0061635; GO:0061912; GO:0070342; GO:0070530; GO:0097009; GO:0097225; GO:0097413; GO:0098780; GO:1900273; GO:1903078; GO:1905719
g4851	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872
g3189	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g9003	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g4390	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006421
g1699	GO:0003677; GO:0005634
g3683	GO:0000109; GO:0000405; GO:0000724; GO:0000993; GO:0003684; GO:0003690; GO:0003697; GO:0004519; GO:0004520; GO:0005634; GO:0005694; GO:0006281; GO:0006283; GO:0006285; GO:0006289; GO:0006295; GO:0008047; GO:0008340; GO:0009411; GO:0009650; GO:0010225; GO:0032991; GO:0035264; GO:0042803; GO:0043066; GO:0044877; GO:0046872; GO:0047485; GO:0050790
g126	GO:0005198; GO:0005737; GO:0005829; GO:0005886; GO:0007155; GO:0016600; GO:0031410; GO:0035011; GO:0035593; GO:0045661; GO:0051491; GO:0061357; GO:0072659
g3126	GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0006351; GO:0016021; GO:0030336; GO:0031965; GO:0035024
g9037	GO:0005634; GO:0005737; GO:0016491; GO:0030017; GO:0034599; GO:0050660
g247	GO:0005886; GO:0008066; GO:0015276; GO:0015277; GO:0032983; GO:0035249; GO:0038023; GO:0042734; GO:0045211; GO:0050804; GO:1904315
g1649	GO:0003964
g775	GO:0005096; GO:0042803; GO:0071889; GO:0090630
g4545	GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001525; GO:0001889; GO:0001935; GO:0002070; GO:0002639; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0005783; GO:0005789; GO:0006355; GO:0006357; GO:0006366; GO:0006511; GO:0006990; GO:0007517; GO:0008284; GO:0009410; GO:0010506; GO:0010832; GO:0016021; GO:0030335; GO:0030968; GO:0031017; GO:0031490; GO:0031648; GO:0031670; GO:0032755; GO:0032869; GO:0034976; GO:0035356; GO:0035470; GO:0036312; GO:0042149; GO:0042632; GO:0042802; GO:0042826; GO:0043066; GO:0043565; GO:0044389; GO:0045348; GO:0045579; GO:0045582; GO:0045600; GO:0045766; GO:0045944; GO:0046982; GO:0048666; GO:0051602; GO:0055089; GO:0055092; GO:0060096; GO:0060612; GO:0060691; GO:0070059; GO:0071222; GO:0071230; GO:0071236; GO:0071332; GO:0071333; GO:0071353; GO:0071375; GO:0071498; GO:0071499; GO:0090575; GO:0098793; GO:1900100; GO:1900103; GO:1902236; GO:1903489; GO:1990418; GO:1990830; GO:1990837; GO:2000347
g241	GO:0004970; GO:0005886; GO:0008066; GO:0015276; GO:0016021; GO:0035249; GO:0038023; GO:0045211; GO:0050804; GO:0050965; GO:0120169; GO:1904315
g6491	GO:0001672; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0006325; GO:0006468; GO:0006886; GO:0006974; GO:0007049; GO:0007059; GO:0018105; GO:0035556; GO:0106310
g9170	GO:0004430; GO:0005524; GO:0005739; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0043204; GO:0045121; GO:0046854
g2542	GO:0003964; GO:0006313
g9120	GO:0000139; GO:0000978; GO:0000981; GO:0003677; GO:0005634; GO:0005737; GO:0005789; GO:0006355; GO:0006357; GO:0008203; GO:0008610; GO:0010867; GO:0012507; GO:0016021; GO:0032933; GO:0045542; GO:0046983
g3287	GO:0005887; GO:0008381
g7348	GO:0005388; GO:0005524; GO:0006874; GO:0015662; GO:0016021; GO:0016887; GO:0033017; GO:0034220; GO:0046872; GO:0070588
g8508	GO:0000132; GO:0000151; GO:0000209; GO:0000776; GO:0004842; GO:0005634; GO:0005635; GO:0005813; GO:0005829; GO:0005875; GO:0005881; GO:0006470; GO:0007097; GO:0007281; GO:0008090; GO:0016055; GO:0016567; GO:0019005; GO:0031023; GO:0031146; GO:0031648; GO:0042753; GO:0043005; GO:0043025; GO:0043161; GO:0045862; GO:0045892; GO:0045893; GO:0046983; GO:0047496; GO:0048511; GO:0048854; GO:0051010; GO:0070840; GO:1904115
g4381	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0005829; GO:0006418; GO:0006421; GO:0016477; GO:0021987; GO:0031728; GO:0046983; GO:0070062
g7258	GO:0003964; GO:0006313
g4235	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g9067	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g6924	GO:0004674; GO:0004712; GO:0005524; GO:0005654; GO:0005829; GO:0016787; GO:0030490; GO:0030688; GO:0034708; GO:0042274; GO:0046872; GO:0106310; GO:2000234
g6215	GO:0001843; GO:0003924; GO:0003925; GO:0005525; GO:0005739; GO:0005886; GO:0005925; GO:0006887; GO:0006935; GO:0007049; GO:0007165; GO:0007265; GO:0009986; GO:0017022; GO:0017157; GO:0019003; GO:0030659; GO:0031532; GO:0031625; GO:0031755; GO:0032154; GO:0051117; GO:0051301; GO:0051491; GO:0051665; GO:0070062; GO:0072655; GO:0090141; GO:0090543
g1351	GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074
g3175	GO:0003964; GO:0006313
g3978	GO:0003964
g6848	GO:0003964; GO:0046872
g3931	GO:0004722; GO:0005634; GO:0005737; GO:0006397
g8370	GO:0003824
g8188	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g9016	GO:0004197; GO:0004843; GO:0005634; GO:0005783; GO:0005829; GO:0006464; GO:0006508; GO:0006511; GO:0008233; GO:0016579; GO:0019783; GO:0031625; GO:0032183; GO:0043130; GO:0051117; GO:0070536; GO:0071108; GO:1904293
g9173	GO:0004430; GO:0005524; GO:0005739; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0043204; GO:0045121; GO:0046854
g1532	GO:0005737; GO:0005794; GO:0008525; GO:0008526; GO:0031210; GO:0035091; GO:0071944
g6606	GO:0005634; GO:0005694; GO:0006325; GO:0007049; GO:0009953; GO:0010628; GO:0018024; GO:0051301
g3083	GO:0005829; GO:0006895; GO:0015031; GO:0031901; GO:0070062
g9036	GO:0003964; GO:0006313
g4671	GO:0003964; GO:0046872
g7628	GO:0005789; GO:0005886; GO:0006811; GO:0015385; GO:0015386; GO:0016021; GO:0031901; GO:0043231; GO:0048675; GO:0048812; GO:0051453; GO:0055037; GO:0055038; GO:0071805; GO:0097484; GO:0098719
g4038	GO:0005509; GO:0005544; GO:0005886; GO:0005938; GO:0010828; GO:0030659; GO:0031340; GO:0032587; GO:0032869; GO:0038028; GO:0065002; GO:0072659; GO:0090314
g6574	GO:0000220; GO:0001666; GO:0001956; GO:0002119; GO:0005886; GO:0007035; GO:0007271; GO:0009792; GO:0015986; GO:0016021; GO:0016471; GO:0040011; GO:0040013; GO:0043068; GO:0045202; GO:0046961; GO:0050830; GO:0051117
g747	GO:0003964; GO:0004519; GO:0006310; GO:0046872
g246	GO:0004970; GO:0005234; GO:0005313; GO:0005886; GO:0007399; GO:0008066; GO:0008328; GO:0014054; GO:0014069; GO:0015276; GO:0015277; GO:0016020; GO:0016595; GO:0030425; GO:0030534; GO:0032229; GO:0032230; GO:0032983; GO:0035235; GO:0035249; GO:0038023; GO:0042391; GO:0042734; GO:0042802; GO:0043025; GO:0043195; GO:0043235; GO:0045202; GO:0045211; GO:0048169; GO:0048172; GO:0048266; GO:0050804; GO:0051899; GO:0051967; GO:0060079; GO:0060080; GO:0098978; GO:0099056; GO:1904315
g9022	GO:0003964; GO:0006313
g2623	GO:0000375; GO:0000398; GO:0003677; GO:0005681; GO:0016363; GO:0016607; GO:0048024; GO:0071013
g7951	GO:0003964; GO:0006313
g4739	GO:0003964; GO:0006313
g8358	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
g299	GO:0000184; GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005737; GO:0008270; GO:0016887; GO:0032508; GO:0036121; GO:0071456; GO:0071598; GO:1990124; GO:2000624
g5894	GO:0000978; GO:0000981; GO:0001228; GO:0001553; GO:0001666; GO:0001779; GO:0001889; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0005634; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0006366; GO:0006952; GO:0006953; GO:0007259; GO:0007548; GO:0007565; GO:0007595; GO:0008284; GO:0019218; GO:0019221; GO:0019530; GO:0019915; GO:0030155; GO:0030856; GO:0032355; GO:0032496; GO:0032743; GO:0032819; GO:0032825; GO:0032870; GO:0033077; GO:0035259; GO:0040014; GO:0040018; GO:0042104; GO:0042127; GO:0042448; GO:0042802; GO:0042803; GO:0043029; GO:0043066; GO:0043434; GO:0043565; GO:0045471; GO:0045579; GO:0045588; GO:0045621; GO:0045647; GO:0045648; GO:0045931; GO:0045944; GO:0045954; GO:0046543; GO:0046544; GO:0046983; GO:0048541; GO:0048661; GO:0050729; GO:0051272; GO:0060397; GO:0070669; GO:0070670; GO:0070672; GO:0071363; GO:0071364; GO:0097531
g9027	GO:0001501; GO:0001503; GO:0001525; GO:0002063; GO:0004672; GO:0004674; GO:0004694; GO:0004712; GO:0005524; GO:0005737; GO:0005783; GO:0005789; GO:0005829; GO:0006412; GO:0006468; GO:0006919; GO:0006983; GO:0007029; GO:0007595; GO:0009967; GO:0010575; GO:0010628; GO:0010629; GO:0010998; GO:0016021; GO:0017148; GO:0018105; GO:0019217; GO:0019722; GO:0019899; GO:0019903; GO:0030282; GO:0030433; GO:0030968; GO:0031016; GO:0031018; GO:0031642; GO:0032055; GO:0032092; GO:0032933; GO:0034198; GO:0034976; GO:0036492; GO:0036499; GO:0042149; GO:0042802; GO:0043066; GO:0044322; GO:0045444; GO:0045943; GO:0046777; GO:0048009; GO:0048471; GO:0051879; GO:0060734; GO:0070059; GO:0070417; GO:0071074; GO:0106310; GO:1900182; GO:1902010; GO:1902235; GO:1902237; GO:1903788; GO:1990440
g4546	GO:0003964; GO:0006313
g2636	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0005654; GO:0006357; GO:0007420; GO:0007612; GO:0007613; GO:0035176; GO:0043231; GO:0045892
