name	term	lev	seq	value
"cellular homeostasis"	GO:0055082;GO:0019725	2	g16347	0.128711789899232
"cellular homeostasis"	GO:0055082;GO:0019725	2	g16365	-0.0921552941379139
"cellular homeostasis"	GO:0055082;GO:0019725	2	g48615	0.0901740359566352
"cellular homeostasis"	GO:0055082;GO:0019725	2	g51623	-0.0738524546660147
"cellular homeostasis"	GO:0055082;GO:0019725	2	g54114	0.0645882135064911
"cellular homeostasis"	GO:0055082;GO:0019725	2	g85012	-0.0349266302735388
"cellular homeostasis"	GO:0055082;GO:0019725	2	g85343	-0.0382182059797417
"cellular homeostasis"	GO:0055082;GO:0019725	2	g95108	-0.117117508028318
"cellular homeostasis"	GO:0055082;GO:0019725	2	g122309	0.0733902403550288
"cellular homeostasis"	GO:0055082;GO:0019725	2	g131729	0.031665377675962
"cellular homeostasis"	GO:0055082;GO:0019725	2	g108598	0.213390805854138
"cellular homeostasis"	GO:0055082;GO:0019725	2	g111745	0.0490962363349746
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g33274	0.142568691148288
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g41298	-0.236112673213322
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g44890	0.353807278750673
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g49227	0.183388730206947
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g56255	-0.0429279217517941
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g63875	-0.637038950090331
"organic acid transport"	GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0055085	5	g87609	0.0179248989563093
